"","zip_code","Administrative office, operation center or Other unclassified businesses","Administrative office, operation center or Other unclassified businesses, Educational, training institutions, Vending, service & amusement machines","Advertising space renters","Amusement facilities/devices (non-coin)","Bank, Savings & trust companies, etc.","Carnivals & Circuses, traveling shows, etc.","Cemeteries, crematories, etc.","Charitable, etc., organizations; occasional sales, fund raising","Contracting","Dancing or entertainment, etc.","Dealer in intangible personal property","Dealer in tangible personal property","Eating establishments or Catering businesses","Educational, training institutions","Electric power plants, gas plants and community television antenna companies","Farm, grove, horticultural, floricultural, tropical piscicultural and tropical fish farm products","Fortunetellers, clairvoyants, etc.","Hotels, apartments, motels, etc. or Commercial, industrial or office space","Junk dealers","Liquefied petroleum gas; distributors; installers, and manufacturers","Local exchange telecommunication company or Communication businesses","Manufacturing, recycling, processing, etc.","Movies, playhouses, stadiums, auditoriums, etc.","Multi-Municipal Contractor","Non-profit charitable, religious or educational institutions","Non-vocal communications, etc.","Pari-mutuel wagering","Pawnbrokers","Permanent exhibits, admission facilities, etc.","Professions, professional associations","Railroads","Restricted Municipal Contracting","Retail sales","School activities or Film industry","Service business/multiple service business or Passenger transportation services","Title insurance, abstract companies, etc.","Traveling junk dealers","Various","Vending, service & amusement machines"
"1",33109,2,0,0,1,1,0,0,0,0,0,1,2,7,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,7,0,0,5,0,10,0,0,0,1
"2",33125,37,0,0,4,21,0,0,0,137,5,12,69,85,14,0,0,0,309,0,0,1,23,1,8,6,1,0,15,0,554,0,1,254,0,392,1,0,0,28
"3",33126,99,0,1,1,41,0,1,0,246,8,39,609,123,24,0,0,0,155,0,1,10,37,1,11,12,4,1,10,0,1173,0,2,347,0,914,8,0,0,35
"4",33127,19,0,0,2,14,0,0,0,75,0,3,218,86,11,0,0,0,96,10,1,2,57,1,5,14,0,0,7,0,64,0,3,263,0,352,0,0,0,15
"5",33128,7,0,0,1,5,0,0,0,10,1,3,33,28,0,0,0,1,113,0,0,0,3,0,1,5,0,0,5,0,95,0,0,68,0,65,0,0,0,6
"6",33129,9,0,0,1,3,0,0,0,45,0,15,35,16,13,0,0,0,51,0,1,0,2,0,1,4,0,0,0,0,312,0,0,22,1,102,1,0,0,4
"7",33130,36,0,0,0,31,0,0,0,63,8,17,117,138,12,0,0,0,397,0,0,7,26,1,0,13,8,0,9,0,1017,0,1,253,0,369,1,0,0,33
"8",33131,107,0,0,0,91,0,0,0,55,3,165,312,184,17,0,0,0,61,0,0,10,12,3,1,6,3,0,0,0,4697,0,0,223,0,597,6,0,0,10
"9",33132,55,0,0,0,25,1,0,0,28,22,21,292,128,9,0,0,2,48,0,0,28,29,2,1,5,0,0,7,1,360,0,0,338,0,415,1,0,0,13
"10",33133,59,0,0,0,14,0,0,0,126,7,51,115,102,25,0,0,0,111,0,1,10,11,1,1,9,0,0,0,0,1286,0,4,176,0,323,6,0,0,13
"11",33134,92,0,0,3,72,0,2,0,183,2,129,221,200,28,0,0,0,281,0,2,3,31,3,9,9,1,0,8,0,3761,0,5,354,0,775,16,0,0,25
"12",33135,21,0,0,0,35,0,2,0,64,4,14,108,128,38,0,0,0,521,0,1,5,48,3,1,12,2,0,31,0,751,0,2,399,0,504,1,0,0,34
"13",33136,10,0,0,0,7,0,0,0,36,1,2,20,45,5,1,0,0,104,0,0,0,13,0,1,11,0,0,1,0,59,0,0,66,0,73,0,0,0,5
"14",33137,48,0,0,0,13,0,1,0,66,1,27,138,93,10,0,0,0,155,1,1,3,32,0,3,19,3,0,3,0,432,0,0,212,0,373,1,0,0,17
"15",33138,32,0,0,1,16,0,0,0,109,5,9,143,60,27,0,0,0,172,1,0,5,44,1,9,14,2,0,0,0,367,0,0,161,0,358,2,0,0,18
"16",33139,60,0,1,4,88,0,0,0,79,44,46,134,449,28,0,0,3,582,0,0,1,31,4,3,20,3,0,2,0,642,0,1,540,0,572,6,0,1,48
"17",33142,40,0,0,9,36,0,1,0,172,8,10,567,177,19,0,0,0,152,71,5,6,220,1,11,22,4,0,15,0,112,0,3,748,0,1160,0,6,1,57
"18",33144,30,0,0,1,45,0,0,0,185,2,14,128,127,54,0,0,0,63,1,2,4,43,0,10,7,2,0,18,0,1177,0,4,478,0,740,4,0,1,31
"19",33145,31,0,0,0,28,0,0,0,115,3,14,72,71,16,0,0,0,76,0,3,2,14,1,3,6,1,0,5,0,765,0,0,156,0,333,3,0,0,15
"20",33146,36,0,0,0,20,0,0,0,47,2,33,48,60,19,0,0,0,8,0,0,1,11,1,1,9,0,0,0,0,1076,0,0,125,0,160,2,0,0,7
"21",33147,23,0,0,4,20,0,0,0,121,2,5,178,75,17,0,0,1,55,13,2,3,80,0,8,22,3,0,4,0,82,0,3,429,0,569,0,4,1,30
"22",33149,20,0,0,2,15,0,0,0,40,1,20,41,61,12,0,0,0,6,0,0,0,4,0,0,3,0,0,0,1,202,0,0,68,0,148,2,0,0,5
"23",33150,7,0,0,0,16,0,0,0,58,0,4,68,40,3,0,0,1,61,8,0,0,25,0,0,8,1,0,6,0,147,0,0,175,0,284,1,0,0,16
